Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-M,avg_rating,total_rating,score
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,5.852803738317757,428,5.070688053311874
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg,5.8242894056847545,387,4.990424012689503
Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,http://images.amazon.com/images/P/0590353403.01.MZZZZZZZ.jpg,5.737410071942446,278,4.721630128070709
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg,5.501440922190202,347,4.69790280646733
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,5.183453237410072,556,4.68535084251312
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg,4.895652173913043,575,4.470148544571398
Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1992,Tor Books,http://images.amazon.com/images/P/0312853238.01.MZZZZZZZ.jpg,5.409638554216867,249,4.443252367955546
The Da Vinci Code,Dan Brown,2003,Doubleday,http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg,4.642538975501114,898,4.384406197341854
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg,4.948369565217392,368,4.337563117402053
The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg,4.468725868725869,1295,4.299555498141359
The Little Prince,Antoine de Saint-Exup̩ry,1968,Harcourt,http://images.amazon.com/images/P/0156528207.01.MZZZZZZZ.jpg,5.815602836879433,141,4.281297920323928
To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg,4.7,510,4.277057113354944
The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,5.00711743772242,281,4.252570057573696
Free,Paul Vincent,2003,Upfront Publishing,http://images.amazon.com/images/P/1844262553.01.MZZZZZZZ.jpg,8.017857142857142,56,4.246882013661471
The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,http://images.amazon.com/images/P/0142001740.01.MZZZZZZZ.jpg,4.447028423772609,774,4.185993176205912
"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339711.01.MZZZZZZZ.jpg,4.880769230769231,260,4.133799255644544
The Catcher in the Rye,J.D. Salinger,1991,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg,4.5456570155902005,449,4.118293313546349
The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg,4.551162790697674,430,4.10837533588666
The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,http://images.amazon.com/images/P/0312195516.01.MZZZZZZZ.jpg,4.334716459197787,723,4.077729318229396
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg,4.354969574036511,493,4.001333895512074
